"item_id","description","cost_price","sell_price"
"1","Wood Puzzle","15.23","21.95"
"2","Rubik Cube","7.45","11.49"
"3","Linux CD","1.99","2.49"
"4","Tissues","2.11","3.99"
"5","Picture Frame","7.54","9.95"
"6","Fan Small","9.23","15.75"
"7","Fan Large","13.36","19.95"
"8","Toothbrush","0.75","1.45"
"9","Roman Coin","2.34","2.45"
"10","Carrier Bag","0.01","0.00"
"11","Speakers","19.73","25.32"
"12","SQL Server 2005",NULL,NULL
"13","Iphone","5500.00","6000.00"
"18","Windows 10","200.00","800.00"
"19","Mac mini","8000.00","8000.00"
